cost,prize,profit,draws,max_drawdown,h_jp,h_2nd,h_3rd
117100,34200.0,-82900.0,387,-83500.0,0,0,0
117100,28400.0,-88700.0,387,-88700.0,0,0,0
117100,37000.0,-80100.0,387,-80150.0,0,0,0
117100,40600.0,-76500.0,387,-76950.0,0,0,0
117100,36000.0,-81100.0,387,-81150.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,29200.0,-87900.0,387,-88650.0,0,0,0
117100,50381.0,-66719.0,387,-66919.0,0,0,0
117100,29400.0,-87700.0,387,-87700.0,0,0,0
117100,36400.0,-80700.0,387,-81550.0,0,0,0
117100,40600.0,-76500.0,387,-76500.0,0,0,0
117100,30200.0,-86900.0,387,-86900.0,0,0,0
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,35400.0,-81700.0,387,-81700.0,0,0,0
117100,32200.0,-84900.0,387,-84900.0,0,0,0
117100,30200.0,-86900.0,387,-86900.0,0,0,0
117100,37600.0,-79500.0,387,-79500.0,0,0,0
117100,29400.0,-87700.0,387,-87700.0,0,0,0
117100,39000.0,-78100.0,387,-78100.0,0,0,0
117100,43181.0,-73919.0,387,-73919.0,0,0,0
117100,29000.0,-88100.0,387,-88100.0,0,0,0
117100,37400.0,-79700.0,387,-79700.0,0,0,0
117100,36200.0,-80900.0,387,-80900.0,0,0,0
117100,38800.0,-78300.0,387,-78350.0,0,0,0
117100,25800.0,-91300.0,387,-91300.0,0,0,0
117100,32200.0,-84900.0,387,-85100.0,0,0,0
117100,32200.0,-84900.0,387,-84950.0,0,0,0
117100,23000.0,-94100.0,387,-94750.0,0,0,0
117100,34400.0,-82700.0,387,-82700.0,0,0,0
117100,36200.0,-80900.0,387,-80900.0,0,0,0
117100,39000.0,-78100.0,387,-78100.0,0,0,0
117100,70264.0,-46836.0,387,-57400.0,0,0,0
117100,48734.0,-68366.0,387,-68366.0,0,0,0
117100,41600.0,-75500.0,387,-75700.0,0,0,0
117100,31000.0,-86100.0,387,-86100.0,0,0,0
117100,26600.0,-90500.0,387,-90500.0,0,0,0
117100,37800.0,-79300.0,387,-79300.0,0,0,0
117100,35400.0,-81700.0,387,-81700.0,0,0,0
117100,36800.0,-80300.0,387,-80300.0,0,0,0
117100,37000.0,-80100.0,387,-80100.0,0,0,0
117100,25800.0,-91300.0,387,-91300.0,0,0,0
117100,43400.0,-73700.0,387,-74100.0,0,0,0
117100,28600.0,-88500.0,387,-88500.0,0,0,0
117100,26000.0,-91100.0,387,-91100.0,0,0,0
117100,29200.0,-87900.0,387,-87900.0,0,0,0
117100,41400.0,-75700.0,387,-75700.0,0,0,0
117100,37200.0,-79900.0,387,-79900.0,0,0,0
117100,38400.0,-78700.0,387,-78700.0,0,0,0
117100,32800.0,-84300.0,387,-84300.0,0,0,0
117100,32800.0,-84300.0,387,-84300.0,0,0,0
117100,67556.0,-49544.0,387,-49544.0,0,0,1
117100,62580.0,-54520.0,387,-60200.0,0,0,1
117100,38400.0,-78700.0,387,-78700.0,0,0,0
117100,29800.0,-87300.0,387,-88150.0,0,0,0
117100,38800.0,-78300.0,387,-78300.0,0,0,0
117100,29800.0,-87300.0,387,-87500.0,0,0,0
117100,49159.0,-67941.0,387,-67941.0,0,0,0
117100,50777.0,-66323.0,387,-66323.0,0,0,0
117100,38400.0,-78700.0,387,-78700.0,0,0,0
117100,31000.0,-86100.0,387,-86100.0,0,0,0
117100,31600.0,-85500.0,387,-85500.0,0,0,0
117100,27600.0,-89500.0,387,-89500.0,0,0,0
117100,35000.0,-82100.0,387,-82300.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,35400.0,-81700.0,387,-81700.0,0,0,0
117100,41200.0,-75900.0,387,-75900.0,0,0,0
117100,43000.0,-74100.0,387,-74950.0,0,0,0
117100,37000.0,-80100.0,387,-80750.0,0,0,0
117100,31200.0,-85900.0,387,-85900.0,0,0,0
117100,36600.0,-80500.0,387,-80500.0,0,0,0
117100,33400.0,-83700.0,387,-83700.0,0,0,0
117100,28800.0,-88300.0,387,-88300.0,0,0,0
117100,31600.0,-85500.0,387,-86150.0,0,0,0
117100,34600.0,-82500.0,387,-82500.0,0,0,0
117100,30000.0,-87100.0,387,-87100.0,0,0,0
117100,36600.0,-80500.0,387,-80550.0,0,0,0
117100,32000.0,-85100.0,387,-85100.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,42800.0,-74300.0,387,-74300.0,0,0,0
117100,37000.0,-80100.0,387,-80100.0,0,0,0
117100,35800.0,-81300.0,387,-81300.0,0,0,0
117100,32600.0,-84500.0,387,-84500.0,0,0,0
117100,32200.0,-84900.0,387,-84900.0,0,0,0
117100,30200.0,-86900.0,387,-87100.0,0,0,0
117100,43235.0,-73865.0,387,-73865.0,0,0,0
117100,29400.0,-87700.0,387,-87700.0,0,0,0
117100,35000.0,-82100.0,387,-82300.0,0,0,0
117100,33800.0,-83300.0,387,-83350.0,0,0,0
117100,38000.0,-79100.0,387,-80350.0,0,0,0
117100,33800.0,-83300.0,387,-83300.0,0,0,0
117100,37400.0,-79700.0,387,-79700.0,0,0,0
117100,34400.0,-82700.0,387,-82700.0,0,0,0
117100,34000.0,-83100.0,387,-83100.0,0,0,0
117100,34400.0,-82700.0,387,-82700.0,0,0,0
117100,27000.0,-90100.0,387,-90100.0,0,0,0
117100,49327.0,-67773.0,387,-67773.0,0,0,0
117100,35600.0,-81500.0,387,-83750.0,0,0,0
117100,28400.0,-88700.0,387,-88700.0,0,0,0
117100,43200.0,-73900.0,387,-73950.0,0,0,0
117100,35600.0,-81500.0,387,-81700.0,0,0,0
117100,41400.0,-75700.0,387,-75700.0,0,0,0
117100,29800.0,-87300.0,387,-87300.0,0,0,0
117100,33800.0,-83300.0,387,-83500.0,0,0,0
117100,30800.0,-86300.0,387,-86300.0,0,0,0
117100,40937.0,-76163.0,387,-76163.0,0,0,0
117100,40400.0,-76700.0,387,-76700.0,0,0,0
117100,88480.0,-28620.0,387,-59550.0,0,0,1
117100,79381.0,-37719.0,387,-45400.0,0,0,1
117100,36400.0,-80700.0,387,-81150.0,0,0,0
117100,47000.0,-70100.0,387,-72200.0,0,0,0
117100,39000.0,-78100.0,387,-78100.0,0,0,0
117100,34200.0,-82900.0,387,-82900.0,0,0,0
