total_prize_fixed,total_prize_real,net_profit_fixed,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
179700,179700.0,-634700,-634700.0,-634700,0,0,0,2,2,15,27,280,182,445
167200,167200.0,-647200,-647200.0,-647200,0,0,0,1,2,13,34,266,211,464
163800,163800.0,-650600,-650600.0,-650600,0,0,0,1,3,10,42,247,192,439
299900,299900.0,-514500,-514500.0,-514500,0,0,1,0,4,19,27,243,185,466
191500,191500.0,-622900,-622900.0,-622900,0,0,0,2,2,23,43,233,196,454
162300,162300.0,-652100,-652100.0,-652100,0,0,0,0,5,19,40,256,189,477
161900,161900.0,-652500,-652500.0,-652500,0,0,0,0,2,25,41,264,212,487
195900,195900.0,-618500,-618500.0,-618500,0,0,0,2,3,22,38,258,215,423
155500,155500.0,-658900,-658900.0,-658900,0,0,0,0,3,27,31,224,190,491
157400,157400.0,-657000,-657000.0,-657000,0,0,0,0,4,17,41,277,198,441
142400,142400.0,-672000,-672000.0,-672000,0,0,0,0,1,15,38,268,193,458
148800,148800.0,-665600,-665600.0,-665600,0,0,0,0,2,11,48,271,206,445
301900,301900.0,-512500,-512500.0,-512500,0,0,1,0,1,13,43,274,224,481
154200,154200.0,-660200,-660200.0,-660200,0,0,0,0,4,21,35,253,188,445
190100,190100.0,-624300,-624300.0,-624300,0,0,0,1,6,25,38,252,224,409
138300,138300.0,-676100,-676100.0,-676100,0,0,0,0,0,24,31,264,183,437
135300,135300.0,-679100,-679100.0,-679100,0,0,0,0,1,15,31,265,185,434
172500,172500.0,-641900,-641900.0,-641900,0,0,0,1,3,21,28,265,209,442
174900,174900.0,-639500,-639500.0,-639500,0,0,0,1,2,20,41,258,205,477
194300,194300.0,-620100,-620100.0,-620100,0,0,0,2,3,20,40,249,199,456
315400,315400.0,-499000,-499000.0,-559800,0,0,1,0,6,22,37,260,193,444
158500,158500.0,-655900,-655900.0,-655900,0,0,0,0,4,24,34,249,205,438
313400,313400.0,-501000,-501000.0,-501000,0,0,1,0,6,18,48,239,193,433
177800,177800.0,-636600,-636600.0,-636600,0,0,0,2,1,19,33,256,185,428
168000,168000.0,-646400,-646400.0,-646400,0,0,0,1,3,13,33,263,198,465
159600,159600.0,-654800,-654800.0,-654800,0,0,0,0,5,21,33,249,185,477
175700,175700.0,-638700,-638700.0,-638700,0,0,0,1,2,14,48,220,216,521
169800,169800.0,-644600,-644600.0,-644600,0,0,0,1,2,21,35,268,190,462
158400,158400.0,-656000,-656000.0,-656000,0,0,0,0,5,20,30,272,200,432
299600,299600.0,-514800,-514800.0,-514800,0,0,1,0,5,19,38,223,168,433
167900,167900.0,-646500,-646500.0,-646500,0,0,0,1,1,29,35,263,198,408
168300,168300.0,-646100,-646100.0,-646100,0,0,0,1,4,22,31,239,177,430
162500,162500.0,-651900,-651900.0,-651900,0,0,0,0,3,28,44,245,197,466
153500,153500.0,-660900,-660900.0,-660900,0,0,0,0,4,13,39,280,184,467
150900,150900.0,-663500,-663500.0,-663500,0,0,0,0,2,23,37,258,207,425
165100,165100.0,-649300,-649300.0,-649300,0,0,0,0,5,20,41,251,205,466
167400,167400.0,-647000,-647000.0,-647000,0,0,0,1,1,22,38,250,187,482
156900,156900.0,-657500,-657500.0,-657500,0,0,0,0,3,19,35,233,242,440
146200,146200.0,-668200,-668200.0,-668200,0,0,0,0,1,21,37,259,196,455
199100,199100.0,-615300,-615300.0,-615300,0,0,0,2,4,17,45,269,198,450
148400,148400.0,-666000,-666000.0,-666000,0,0,0,0,2,17,50,253,193,429
160300,160300.0,-654100,-654100.0,-654100,0,0,0,1,0,20,43,273,180,438
185700,185700.0,-628700,-628700.0,-628700,0,0,0,2,3,13,40,264,181,447
145000,145000.0,-669400,-669400.0,-669400,0,0,0,0,1,23,37,248,204,422
180400,180400.0,-634000,-634000.0,-634000,0,0,0,2,2,16,29,266,193,428
152300,152300.0,-662100,-662100.0,-662100,0,0,0,0,2,16,38,248,228,459
163700,163700.0,-650700,-650700.0,-650700,0,0,0,1,1,13,35,274,215,449
152400,152400.0,-662000,-662000.0,-662000,0,0,0,0,5,21,33,245,182,415
167100,167100.0,-647300,-647300.0,-647300,0,0,0,0,4,21,44,281,213,460
140200,140200.0,-674200,-674200.0,-674200,0,0,0,0,0,28,29,246,205,406
164900,164900.0,-649500,-649500.0,-649500,0,0,0,1,2,14,38,270,202,431
161200,161200.0,-653200,-653200.0,-653200,0,0,0,1,0,22,38,255,197,435
170100,170100.0,-644300,-644300.0,-653500,0,0,0,1,1,24,32,262,211,457
153100,153100.0,-661300,-661300.0,-661300,0,0,0,0,4,15,42,256,197,433
182500,182500.0,-631900,-631900.0,-631900,0,0,0,1,8,9,39,255,191,440
148900,148900.0,-665500,-665500.0,-665500,0,0,0,0,1,20,36,262,205,473
167400,167400.0,-647000,-647000.0,-647000,0,0,0,1,3,16,37,252,184,458
173200,173200.0,-641200,-641200.0,-641200,0,0,0,1,2,27,38,238,203,440
151700,151700.0,-662700,-662700.0,-662700,0,0,0,0,2,19,49,255,187,460
148800,148800.0,-665600,-665600.0,-665600,0,0,0,0,4,17,32,264,188,424
319800,319800.0,-494600,-494600.0,-494600,0,0,1,1,1,19,43,266,203,462
